Index,IQ,CGPA,Placement
157,70,4.68,0
158,129,6.45,1
159,109,10.0,1
160,103,5.46,0
161,108,5.74,0
162,95,5.29,0
163,118,6.79,0
164,106,5.59,0
165,113,5.35,1
166,91,4.86,0
167,133,4.84,0
168,95,6.12,1
169,92,6.87,1
170,109,6.73,0
171,91,5.99,0
172,112,5.43,0
173,116,4.46,0
174,95,7.6,0
175,77,4.52,0
176,108,5.53,1
177,80,6.71,1
178,95,6.87,1
179,99,8.21,1
180,117,5.22,0
181,126,4.0,0
182,113,6.52,0
183,95,6.92,1
184,122,7.16,1
185,98,6.12,1
186,110,6.21,0
187,136,8.02,1
188,123,6.23,1
189,89,4.18,0
190,105,9.15,1
191,101,7.96,1
192,108,7.88,1
193,122,7.27,0
194,114,9.98,1
195,108,6.16,0
196,117,5.6,0
197,97,7.47,1
198,120,6.09,0
199,90,6.18,0
200,116,5.51,0
201,125,7.38,0
202,93,5.06,0
203,127,7.72,1
204,109,5.22,0
205,106,6.95,1
206,112,7.11,1
207,112,9.43,1
208,128,6.08,1
209,103,6.88,0
210,79,8.94,1
211,98,5.38,0
212,117,6.9,1
213,85,6.33,1
214,101,4.7,0
215,100,4.0,0
216,101,7.77,1
217,121,6.42,0
218,143,6.88,1
219,104,7.08,1
220,96,6.03,0
221,96,5.8,0
222,101,8.91,1
223,121,8.54,1
224,99,6.28,1
225,93,5.25,0
226,119,8.58,1
227,88,6.07,0
228,86,7.8,1
229,99,7.8,0
230,99,8.42,1
231,114,7.63,1
232,109,5.05,0
233,102,6.07,0
234,94,4.83,0
235,114,5.01,1
236,73,9.18,0
237,103,6.04,1
238,104,8.34,1
239,107,6.29,0
240,109,4.41,0
241,116,7.04,1
242,105,7.29,1
243,93,7.07,0
244,111,4.42,0
245,112,7.16,1
246,129,8.22,1
247,85,5.93,0
248,112,5.78,0
249,93,5.94,0
250,91,4.91,0
251,120,5.47,0
252,112,7.06,1
253,115,5.99,0
254,143,6.67,0
255,94,6.75,0
256,95,9.34,1
257,96,7.69,1
258,114,4.6,0
259,101,6.7,0
260,107,4.93,0
261,114,7.58,1
262,117,7.44,1
263,80,7.4,1
264,109,5.01,0
265,120,6.74,0
266,105,6.84,1
267,97,6.93,0
268,98,6.37,0
269,97,8.56,1
270,102,6.18,0
271,107,8.24,1
272,109,8.05,1
273,120,6.08,0
274,139,6.29,1
275,126,9.01,1
276,98,6.41,1
277,91,5.39,0
278,104,7.13,1
279,90,8.18,1
280,104,7.74,1
281,110,7.03,1
282,109,10.0,1
283,97,5.93,0
284,95,8.46,1
285,96,5.63,0
286,96,7.69,0
287,82,8.97,1
288,95,6.26,0
289,110,7.72,1
290,102,5.68,1
291,94,6.75,0
292,97,7.11,1
293,122,10.0,1
294,97,8.26,1
295,132,7.62,1
296,113,8.35,1
297,112,8.29,1
298,125,7.71,1
299,107,8.49,0
300,110,6.25,0
301,124,7.07,1
302,84,7.84,0
303,137,6.37,0
304,108,9.01,1
305,109,7.65,1
306,98,7.07,1
307,89,6.99,0
308,122,4.67,0
309,110,8.99,1
310,96,9.43,0
311,72,7.42,1
312,89,7.79,1
313,96,5.01,1
314,114,6.66,0
315,88,4.66,0
316,104,7.14,1
317,110,5.05,0
318,103,8.36,1
319,111,7.6,0
320,114,8.66,1
321,115,6.67,0
322,94,9.32,1
323,83,6.98,0
324,117,5.89,1
325,76,6.17,0
326,81,7.86,1
327,111,5.45,0
328,104,5.18,0
329,118,6.49,0
330,108,4.0,0
331,94,5.4,0
332,131,7.7,1
333,113,8.76,1
334,105,5.89,0
335,110,8.05,1
336,120,6.05,1
337,107,9.71,1
338,131,7.08,1
339,97,6.35,1
340,112,6.0,0
341,137,9.22,1
342,105,6.97,1
343,89,6.44,1
344,110,7.71,1
345,128,5.08,0
346,108,8.27,1
347,98,8.31,1
348,102,8.04,1
349,81,8.87,1
350,95,7.35,0
351,108,6.03,0
352,104,8.44,1
353,99,7.88,1
354,122,4.36,0
355,88,4.99,0
356,97,7.29,0
357,112,6.91,1
358,119,6.11,1
359,98,8.9,1
360,99,6.31,0
361,136,7.33,1
362,120,7.13,1
363,102,6.7,1
364,115,6.87,1
365,103,6.91,0
366,118,7.29,1
367,70,9.72,1
368,121,5.34,1
369,89,5.93,0
370,102,7.1,1
371,112,7.01,1
372,141,6.72,0
373,120,8.35,1
374,114,5.2,0
375,87,7.22,1
376,104,7.26,1
377,111,9.06,1
378,101,8.15,1
379,86,7.64,0
380,100,8.73,1
381,106,6.56,1
382,88,4.78,0
383,92,5.41,0
384,95,4.95,0
385,120,5.84,1
386,119,6.35,1
387,139,4.85,0
388,120,10.0,1
389,113,7.63,1
390,116,7.19,0
391,104,5.74,0
392,79,6.66,1
393,88,7.05,1
394,118,4.6,1
395,119,5.42,0
396,113,5.44,0
397,84,5.96,0
398,81,7.42,0
399,113,7.11,1
400,106,6.2,0
401,113,6.87,1
402,94,5.87,0
403,131,5.06,0
404,94,8.05,1
405,123,5.86,1
406,92,9.8,1
407,109,7.69,1
408,102,6.62,0
409,102,8.15,1
410,96,4.88,0
411,143,5.67,0
412,130,6.02,0
413,129,6.27,1
414,96,5.38,0
415,86,6.85,1
416,108,4.62,0
417,117,4.01,0
418,123,5.11,0
419,111,5.81,1
420,113,6.91,1
421,91,7.04,0
422,103,5.53,0
423,123,8.33,1
424,88,6.36,0
425,107,10.0,1
426,107,6.37,0
427,102,7.79,1
428,93,4.94,0
429,112,5.26,0
430,110,10.0,1
431,117,6.91,1
432,118,6.39,1
433,109,5.86,0
434,102,5.74,0
435,91,6.84,1
436,121,7.46,1
437,117,8.75,1
438,105,4.96,0
439,100,5.95,0
440,105,7.54,1
441,112,6.89,0
442,90,6.6,0
443,113,8.94,1
444,101,8.89,1
445,99,5.94,0
446,99,7.04,1
447,105,7.41,1
448,119,4.72,0
449,119,4.89,0
450,87,4.28,0
451,116,5.99,0
452,96,7.35,1
453,107,6.78,1
454,106,5.44,0
455,102,6.76,0
456,98,5.56,0
457,130,4.88,0
458,127,6.51,0
459,120,5.95,1
460,115,6.12,1
461,95,7.84,1
462,124,8.99,1
463,93,7.44,1
464,135,6.99,1
465,107,4.91,0
466,123,5.88,0
467,113,8.46,1
468,119,5.74,0
469,127,6.35,1
470,124,7.58,1
471,137,5.9,0
472,105,7.18,1
473,112,7.55,1
474,99,5.63,0
475,75,9.68,0
476,101,6.41,0
477,117,8.0,1
478,102,7.2,0
479,129,7.49,1
480,114,8.44,1
481,85,7.36,1
482,97,7.62,1
483,105,7.23,1
484,108,10.0,1
485,78,7.85,0
486,124,7.74,1
487,86,6.51,0
488,96,7.62,1
489,110,5.13,0
490,122,5.95,1
491,105,5.7,1
492,103,7.39,1
493,98,7.81,1
494,130,6.24,1
495,118,4.81,0
496,82,8.57,1
497,143,6.01,1
498,128,9.61,1
499,123,8.23,1
500,116,6.03,0
501,104,6.56,1
502,115,8.14,1
503,127,5.2,0
504,94,4.19,0
505,103,8.92,1
506,89,9.4,1
507,113,6.48,0
508,99,8.32,1
509,128,6.12,1
510,107,4.32,0
511,102,6.15,0
512,112,6.05,0
513,70,6.76,1
514,129,6.16,0
515,112,5.4,0
516,116,8.52,1
517,101,5.57,1
518,101,7.31,1
519,92,8.89,1
520,104,5.75,0
521,118,7.83,1
522,106,7.52,1
523,97,7.91,0
524,109,4.9,0
525,104,4.54,0
526,93,5.67,0
527,122,5.38,0
528,111,7.77,1
529,99,5.64,1
530,88,4.0,0
531,118,4.0,0
532,114,9.68,1
533,94,6.54,1
534,95,5.68,0
535,90,6.97,0
536,109,6.45,1
537,81,8.04,1
538,102,10.0,1
539,93,6.2,1
540,106,4.79,0
541,94,9.42,0
542,98,8.59,1
543,117,7.48,1
544,95,8.24,1
545,98,5.46,0
546,135,5.31,0
547,126,6.69,1
548,89,7.4,0
549,119,8.46,1
550,113,7.26,1
551,99,7.27,1
552,107,8.64,1
553,122,8.64,1
554,73,5.95,0
555,104,5.4,0
556,117,7.57,1
557,99,6.25,0
558,129,6.35,0
559,127,8.2,1
560,111,6.77,1
561,109,5.15,0
562,98,7.08,1
563,101,7.62,1
564,118,4.92,0
565,134,5.4,0
566,112,7.05,1
567,112,7.69,0
568,111,6.46,0
569,133,6.61,0
570,121,6.63,0
571,117,6.05,0
572,109,7.07,1
573,98,7.52,0
574,116,7.66,1
575,121,6.05,0
576,110,9.37,1
577,99,6.77,1
578,116,4.54,0
579,88,8.13,1
580,103,6.56,1
581,122,5.5,0
582,119,7.5,1
583,120,4.0,1
584,95,4.24,0
585,125,6.61,1
586,129,8.64,1
587,116,6.91,0
588,101,5.62,0
589,102,6.97,1
590,105,9.17,1
591,107,5.76,0
592,95,6.75,1
593,94,4.83,0
594,82,7.86,1
595,83,6.37,0
596,109,8.68,1
597,106,6.58,1
598,108,5.75,1
599,93,8.31,0
600,133,6.72,1
601,82,4.28,0
602,109,7.51,1
603,118,6.12,0
604,129,8.06,1
605,91,4.0,0
606,101,5.42,0
607,106,6.49,0
608,107,7.42,1
609,126,6.66,1
610,115,7.13,1
611,109,5.94,0
612,87,6.95,0
613,101,6.62,1
614,96,6.93,1
615,89,8.57,1
616,119,7.4,0
617,131,5.13,0
618,120,5.86,0
619,101,7.2,1
620,102,7.94,1
621,78,8.63,1
622,120,8.38,1
623,98,5.25,0
624,100,7.89,1
625,125,6.01,0
626,79,5.67,1
627,129,5.07,0
628,104,7.19,1
629,111,6.14,0
630,113,6.81,0
631,103,6.68,1
632,101,9.04,1
633,100,7.78,1
634,122,7.32,1
635,111,4.6,0
636,87,7.0,1
637,138,7.69,1
638,77,6.04,0
639,95,6.56,1
640,75,7.85,0
641,108,9.7,1
642,70,6.4,0
643,134,5.08,1
644,98,6.65,0
645,82,7.16,1
646,121,6.94,0
647,99,7.18,1
648,114,6.28,0
649,104,8.38,1
650,78,8.57,1
651,95,5.97,1
652,72,10.0,0
653,108,6.72,1
654,112,7.7,1
655,106,6.52,1
656,102,8.39,1
657,70,7.72,1
658,104,6.26,1
659,119,5.72,1
660,90,4.87,0
661,117,8.13,1
662,115,7.52,0
663,111,7.92,1
664,122,7.79,1
665,121,6.76,0
666,102,5.76,0
667,102,5.69,0
668,76,7.1,1
669,92,7.72,1
670,80,5.73,0
671,90,7.96,0
672,101,4.0,0
673,86,6.88,1
674,125,4.97,0
675,107,9.32,1
676,108,6.11,0
677,90,7.47,0
678,120,10.0,1
679,97,6.76,1
680,94,6.23,0
681,107,5.65,1
682,105,6.79,1
683,107,7.96,1
684,95,6.37,1
685,92,6.13,0
686,108,7.07,1
687,102,7.35,1
688,108,5.98,0
689,102,8.79,1
690,119,8.53,1
691,107,5.94,0
692,114,8.49,1
693,98,6.8,0
694,83,4.0,0
695,86,6.09,0
696,98,8.83,1
697,109,7.67,0
698,120,6.69,1
699,88,4.62,0
700,110,5.54,0
701,121,5.13,0
702,91,7.69,0
703,114,6.04,1
704,105,5.4,0
705,97,6.48,1
706,70,6.53,0
707,116,6.77,1
708,105,7.57,1
709,121,7.8,1
710,111,6.83,0
711,113,6.3,0
712,106,8.97,0
713,82,7.03,1
714,107,7.14,1
715,127,4.56,0
716,103,4.5,0
717,129,6.83,1
718,86,5.94,0
719,100,8.59,1
720,88,7.15,1
721,122,9.01,0
722,92,5.04,0
723,111,8.18,1
724,100,7.01,0
725,136,4.55,0
726,135,6.81,0
727,99,6.55,1
728,71,8.95,1
729,101,6.2,0
730,81,7.45,1
731,84,7.07,0
732,111,6.83,0
733,112,9.33,1
734,115,4.99,0
735,112,8.88,1
736,100,6.8,1
737,114,8.04,1
738,97,7.17,1
739,104,9.74,1
740,99,5.89,0
741,102,5.89,0
742,126,5.96,0
743,120,5.84,0
744,75,8.05,1
745,115,6.82,0
746,98,7.76,1
747,113,9.57,1
748,129,6.95,1
749,85,6.54,1
750,103,8.92,1
751,104,5.05,0
752,118,6.21,0
753,107,7.41,1
754,123,5.3,0
755,122,4.31,0
756,97,6.69,1
757,97,5.85,0
758,88,5.28,0
759,87,7.73,1
760,79,5.85,0
761,90,6.15,0
762,116,6.45,0
763,126,9.23,1
764,106,5.67,0
765,112,7.39,0
766,114,4.7,0
767,90,6.26,0
768,134,10.0,1
769,102,7.55,0
770,100,9.31,1
771,112,7.73,1
772,117,5.94,1
773,88,7.42,1
774,111,9.14,1
775,115,5.27,1
776,115,7.99,0
777,103,4.67,0
778,118,7.61,1
779,105,6.81,1
780,115,7.39,0
781,97,4.0,0
782,97,5.59,0
783,99,8.28,1
784,115,4.89,0
785,108,6.28,0
786,78,7.37,0
787,84,4.67,0
788,95,8.95,1
789,79,5.24,0
790,102,6.03,0
791,112,8.36,1
792,99,4.94,0
793,108,5.45,0
794,110,6.73,1
795,93,6.48,0
796,118,8.25,1
797,91,4.7,0
798,103,4.77,0
799,89,7.09,0
800,94,7.05,1
801,100,9.14,1
802,85,7.96,1
803,87,7.95,0
804,88,5.52,0
805,109,7.57,1
806,110,4.94,0
807,122,6.48,1
808,82,7.52,1
809,104,8.37,1
810,113,5.37,0
811,102,7.12,1
812,103,7.96,1
813,80,9.25,1
814,85,7.77,1
815,108,7.21,1
816,93,5.83,0
817,92,6.71,1
818,115,8.88,1
819,108,7.5,1
820,106,7.84,1
821,86,8.02,1
822,93,6.85,0
823,101,8.3,1
824,93,4.87,0
825,115,6.48,0
826,84,7.77,1
827,130,9.59,1
828,96,8.0,1
829,104,6.84,0
830,104,5.83,0
831,126,5.04,0
832,100,6.41,0
833,110,7.6,1
834,100,5.94,0
835,92,10.0,1
836,84,4.95,0
837,113,7.57,1
838,103,7.26,1
839,71,6.48,0
840,107,10.0,1
841,100,8.09,1
842,111,7.65,1
843,88,7.46,0
844,113,5.51,0
845,100,8.17,1
846,86,6.88,1
847,86,6.5,1
848,141,7.41,1
849,96,8.23,1
850,81,4.17,0
851,110,5.58,1
852,70,6.8,1
853,118,5.38,0
854,91,7.16,0
855,98,5.41,0
856,117,6.47,0
857,83,6.38,0
858,144,5.24,1
859,119,7.19,1
860,110,7.34,0
861,123,8.34,1
862,85,6.52,0
863,104,8.53,0
864,104,6.88,1
865,71,5.95,0
866,123,6.11,1
867,114,5.91,0
868,95,6.54,1
869,71,8.06,1
870,114,5.21,0
871,104,7.64,1
872,93,6.91,1
873,126,7.79,1
874,106,8.77,1
875,92,8.76,1
876,98,6.13,1
877,111,7.08,0
878,130,8.3,1
879,119,5.35,0
880,132,6.49,1
881,95,5.27,0
882,99,4.83,1
883,118,5.53,0
884,112,8.24,1
885,117,5.27,0
886,107,7.57,1
887,91,7.64,1
888,111,4.89,0
889,86,7.57,1
890,94,7.61,1
891,96,5.39,0
892,110,4.61,0
893,101,7.75,0
894,100,7.82,1
895,109,7.46,1
896,116,7.66,1
897,101,6.74,1
898,110,8.8,1
899,85,7.67,1
900,110,8.33,0
901,120,7.15,1
902,107,6.83,0
903,128,5.65,0
904,112,4.84,0
905,73,7.68,1
906,96,6.97,0
907,97,5.32,0
908,134,6.81,1
909,125,5.76,0
910,123,9.16,1
911,91,9.58,0
912,99,7.28,1
913,117,7.38,0
914,105,7.58,1
915,100,7.14,1
916,110,6.51,1
917,128,6.15,0
918,103,6.17,0
919,93,5.22,0
920,114,5.67,0
921,95,7.15,0
922,104,7.44,1
923,102,6.51,0
924,102,4.63,0
925,100,6.44,1
926,104,7.47,1
927,95,5.12,0
928,97,6.31,0
929,85,6.16,1
930,113,6.02,1
931,91,6.76,0
932,113,4.3,0
933,109,7.06,1
934,110,5.39,0
935,78,6.69,0
936,118,6.03,0
937,95,9.23,0
938,132,7.94,1
939,110,7.35,1
940,100,7.98,0
941,83,6.73,1
942,123,6.71,0
943,99,4.41,0
944,128,6.42,1
945,100,9.47,1
946,138,6.58,0
947,82,8.87,1
948,108,5.26,0
949,92,5.95,0
950,96,7.97,1
951,108,8.51,0
952,94,6.48,0
953,107,6.06,0
954,88,7.75,1
955,100,5.63,0
956,113,8.52,1
957,111,4.0,0
958,104,5.53,0
959,94,7.21,0
960,71,4.0,0
961,111,4.0,0
962,97,8.74,1
963,110,7.0,0
964,116,7.1,1
965,160,4.0,0
966,100,7.2,1
967,98,6.0,0
968,82,7.85,1
969,88,6.17,0
970,96,7.3,1
971,116,7.76,1
972,102,7.74,1
973,124,5.79,0
974,102,6.71,1
975,108,6.64,1
976,128,8.18,1
977,98,5.56,0
978,118,8.86,1
979,101,4.5,0
980,119,6.15,1
981,102,7.25,0
982,106,4.0,0
983,80,8.49,1
984,112,8.93,1
985,131,8.11,1
986,122,5.25,0
987,95,6.06,0
988,123,6.44,0
989,96,4.25,0
990,76,6.7,1
991,134,8.08,1
992,123,5.62,0
993,107,7.17,1
994,115,7.2,0
995,90,6.63,1
996,88,10.0,1
997,114,6.9,1
998,90,6.91,0
999,86,7.27,0
1000,76,5.6,1
1001,133,7.58,1
1002,112,4.63,0
1003,97,6.67,0
1004,85,4.84,0
1005,120,4.67,0
1006,98,7.57,1
1007,98,6.22,1
1008,76,6.26,0
1009,111,6.09,0
1010,70,5.88,0
1011,90,6.88,0
1012,99,7.04,1
1013,101,7.65,1
1014,96,7.11,0
1015,74,8.42,1
1016,111,8.48,1
1017,94,6.4,0
1018,131,5.6,1
1019,108,5.12,0
1020,109,6.33,1
1021,97,4.68,0
1022,131,6.83,0
1023,115,5.02,0
1024,108,9.08,1
1025,132,7.89,1
1026,108,6.45,1
1027,107,4.05,0
1028,102,7.23,1
1029,123,4.07,0
1030,77,7.86,1
1031,111,5.59,1
1032,120,7.62,1
1033,113,5.81,1
1034,129,8.3,1
1035,110,4.99,0
1036,111,4.18,0
1037,100,6.38,1
1038,110,7.15,1
1039,93,8.27,1
1040,97,5.94,0
1041,99,6.6,1
1042,76,8.65,1
1043,98,6.68,1
1044,79,8.89,1
1045,111,8.13,1
1046,112,6.43,1
1047,73,6.66,0
1048,111,7.46,0
1049,94,6.65,1
1050,117,6.28,0
1051,99,5.35,0
1052,86,6.95,1
1053,109,5.95,0
1054,98,5.83,0
1055,78,6.25,1
1056,103,6.22,0
1057,114,4.96,0
1058,89,5.75,0
1059,97,8.17,1
1060,119,7.53,0
1061,100,5.71,1
1062,87,8.05,1
1063,132,6.23,0
1064,139,5.94,1
1065,76,7.8,1
1066,99,7.41,1
1067,111,7.11,1
1068,90,5.85,0
1069,117,8.06,0
1070,122,5.15,0
1071,127,7.83,1
1072,80,6.07,0
1073,115,5.33,1
1074,125,7.77,1
1075,90,5.61,0
1076,116,6.75,0
1077,74,5.3,0
1078,85,7.07,1
1079,86,7.06,1
1080,105,10.0,1
1081,120,6.56,1
1082,111,5.77,0
1083,77,7.64,1
1084,114,8.28,1
1085,107,5.57,1
1086,122,8.81,1
1087,105,5.53,0
1088,114,9.52,1
1089,99,7.12,1
1090,101,5.58,0
1091,115,5.52,1
1092,122,6.99,0
1093,113,5.59,1
1094,72,8.03,1
1095,127,6.34,0
1096,95,6.4,0
1097,70,8.59,1
1098,86,5.29,0
1099,90,5.19,0
1100,110,5.49,0
1101,89,8.34,1
1102,112,7.31,1
1103,104,5.15,0
1104,136,5.38,0
1105,111,6.72,0
1106,121,10.0,1
1107,91,4.63,0
1108,121,7.47,1
1109,96,5.27,0
1110,118,4.64,0
1111,113,8.76,1
1112,84,6.59,0
1113,131,7.79,1
1114,89,8.52,1
1115,129,6.4,0
1116,115,6.61,1
1117,99,7.4,0
1118,96,6.57,1
1119,73,7.44,0
1120,87,4.44,0
1121,84,5.81,0
1122,97,7.05,0
1123,106,6.69,0
1124,126,9.33,1
1125,89,6.41,1
1126,112,5.78,0
1127,122,7.1,0
1128,121,6.01,1
1129,106,8.01,1
1130,81,5.68,0
1131,103,9.56,1
1132,112,8.88,1
1133,98,7.49,1
1134,107,6.66,0
1135,70,7.75,1
1136,101,9.67,1
1137,98,9.59,1
1138,96,6.59,0
1139,108,4.99,0
1140,95,6.69,0
1141,111,4.31,0
1142,108,8.74,1
1143,121,7.45,1
1144,112,6.66,1
1145,118,7.6,1
1146,85,7.21,0
1147,95,7.0,1
1148,115,5.2,1
1149,92,6.26,1
1150,97,5.04,0
1151,96,4.0,0
1152,121,6.27,0
1153,87,9.17,1
1154,107,8.23,1
1155,84,6.22,0
1156,98,6.49,0
1157,103,6.87,1
1158,94,5.0,0
1159,73,8.42,1
1160,100,4.0,0
1161,104,5.39,0
1162,127,7.73,1
1163,81,6.34,0
1164,112,6.05,0
1165,134,7.94,1
1166,102,6.3,1
1167,95,6.86,0
1168,97,4.88,1
1169,104,7.5,1
1170,123,5.57,1
1171,78,7.41,1
1172,93,7.39,1
1173,71,7.5,1
1174,90,9.08,1
1175,87,6.52,0
1176,77,5.33,0
1177,132,6.66,1
1178,136,9.03,1
1179,92,6.73,1
1180,109,8.83,1
1181,88,8.73,1
1182,115,8.85,1
1183,104,6.06,0
1184,110,10.0,1
1185,104,7.7,1
1186,103,4.98,0
1187,93,4.0,0
1188,119,6.87,1
1189,121,7.11,1
1190,100,8.64,1
1191,107,5.02,0
1192,92,5.91,1
1193,89,9.77,1
1194,133,5.09,0
1195,85,5.83,0
1196,123,6.25,0
1197,114,10.0,1
1198,123,8.41,1
1199,120,7.27,1
1200,92,5.79,0
1201,105,7.89,1
1202,93,8.31,1
1203,98,6.85,1
1204,102,7.35,1
1205,116,5.42,0
1206,122,8.05,1
1207,110,4.03,0
1208,133,5.47,0
1209,116,4.64,0
1210,113,5.91,1
1211,116,7.39,1
1212,99,7.32,0
1213,111,6.1,1
1214,90,6.75,0
1215,88,7.16,0
1216,116,6.2,0
1217,113,7.42,1
1218,107,7.31,1
1219,73,7.02,1
1220,99,5.78,0
1221,109,8.47,1
1222,115,7.63,1
1223,110,8.24,1
1224,87,7.95,1
1225,106,6.9,1
1226,122,6.68,0
1227,99,7.05,1
1228,114,5.61,0
1229,108,8.59,0
1230,113,7.98,1
1231,120,8.02,1
1232,96,7.27,1
1233,101,8.29,1
1234,91,5.63,0
1235,109,6.07,1
1236,111,6.86,1
1237,85,7.19,1
1238,120,6.58,1
1239,139,6.55,1
1240,119,9.18,1
1241,78,5.93,0
1242,112,8.3,1
1243,70,8.0,1
1244,74,7.0,1
1245,103,6.16,0
1246,99,4.91,0
1247,112,7.25,0
1248,90,6.55,0
1249,107,8.8,1
1250,96,7.26,1
1251,98,5.83,0
1252,106,9.66,1
1253,104,7.25,0
1254,92,7.95,0
1255,105,5.43,0
1256,114,6.03,0
1257,97,5.71,0
1258,78,7.46,1
1259,86,4.0,0
1260,102,6.34,1
1261,87,7.45,1
1262,109,5.56,1
1263,124,7.62,0
1264,108,6.46,1
1265,100,6.57,0
1266,90,5.38,0
1267,80,5.1,0
1268,91,7.52,1
1269,75,7.72,1
1270,90,7.39,1
1271,106,5.03,0
1272,99,6.63,1
1273,87,6.24,1
1274,104,7.06,1
1275,122,5.15,0
1276,122,7.47,1
1277,97,8.25,1
1278,90,6.24,0
1279,110,5.44,0
1280,95,5.81,1
1281,84,9.05,1
1282,121,6.15,0
1283,83,6.07,1
1284,124,5.25,0
1285,102,4.85,0
1286,94,6.53,0
1287,93,6.79,0
1288,99,5.78,0
1289,129,7.0,1
1290,84,7.02,1
1291,82,5.76,0
1292,119,7.14,0
1293,102,7.22,1
1294,77,5.55,0
1295,113,4.0,0
1296,107,7.99,0
1297,113,5.68,0
1298,99,8.2,1
1299,115,7.4,0
1300,96,6.62,0
1301,90,9.06,1
1302,124,4.83,0
1303,93,4.82,0
1304,120,5.62,0
1305,103,6.68,1
1306,119,6.72,1
1307,108,6.32,0
1308,101,6.33,1
1309,111,5.15,0
1310,115,8.94,1
1311,116,6.88,1
1312,123,4.93,0
1313,93,7.33,1
1314,96,4.0,0
1315,118,7.55,1
1316,100,5.01,1
1317,92,9.86,1
1318,96,5.94,1
1319,101,8.36,1
1320,94,9.45,1
1321,116,5.95,0
1322,109,4.15,1
1323,124,6.24,1
1324,110,6.92,0
1325,107,7.51,1
1326,113,5.33,0
1327,129,10.0,1
1328,108,4.0,0
1329,96,9.49,1
1330,79,6.14,0
1331,116,4.0,0
1332,73,6.35,0
1333,110,5.59,0
1334,105,7.46,0
1335,113,4.0,0
1336,97,7.69,1
1337,83,5.42,0
1338,103,5.99,0
1339,115,6.08,0
1340,137,4.81,0
1341,116,5.85,0
1342,93,6.44,0
1343,117,8.01,1
1344,87,4.0,0
1345,119,7.52,1
1346,104,5.84,0
1347,116,4.54,0
1348,118,6.22,0
1349,147,6.65,1
1350,93,7.05,1
1351,107,5.37,0
1352,126,7.43,0
1353,101,7.85,1
1354,90,7.25,0
1355,95,7.07,1
1356,87,8.28,1
1357,94,4.65,0
1358,98,6.96,0
1359,74,6.26,0
